log file 

03-05 14:48:57.534   986  1171 V Robocol : received command: CMD_INIT_OP_MODE(11998) Drive in a square - LOG
03-05 14:48:57.547   986  1172 I RobotCore: ******************** START - OPMODE Drive in a square - LOG ********************
03-05 14:48:57.548   986  1182 I RobotCore: Attempting to switch to op mode Drive in a square - LOG
03-05 14:48:57.621   986  1182 V BroadcomColorSensorImpl: internalInitialize()...
03-05 14:48:57.630   986  1182 V BroadcomColorSensorImpl: state: 07 37 20 1d 42 01 c2 
03-05 14:48:57.630   986  1182 V BroadcomColorSensorImpl: setGain(0x01)
03-05 14:48:57.643   986  1182 V BroadcomColorSensorImpl: setLEDParameters(0x37)
03-05 14:48:57.649   986  1182 V BroadcomColorSensorImpl: setProximityPulseCount(0x20)
03-05 14:48:57.655   986  1182 V BroadcomColorSensorImpl: setPSMeasRate(0x1d)
03-05 14:48:57.661   986  1182 V BroadcomColorSensorImpl: setLSMeasRate(0x42)
03-05 14:48:57.670   986  1182 V BroadcomColorSensorImpl: enable() enabled=0x07...
03-05 14:48:57.679   986  1182 V BroadcomColorSensorImpl: ...enable() enabled=0x07
03-05 14:48:57.684   986  1182 V BroadcomColorSensorImpl: state: 07 37 20 1d 42 01 c2 
03-05 14:48:57.684   986  1182 V BroadcomColorSensorImpl: ...internalInitialize()
03-05 14:48:57.694   986  2068 V RobotCore: thread: 'LinearOpMode main' starting...
03-05 14:48:57.710   986  1288 V Robocol : sending CMD_NOTIFY_INIT_OP_MODE(54030), attempt: 0
03-05 14:48:58.852   986  1171 V Robocol : received command: CMD_RUN_OP_MODE(12022) Drive in a square - LOG
03-05 14:48:58.859   986  2068 D RobotCore: ECE008 - Program Start
03-05 14:48:58.859   986  2068 D RobotCore: ECE008 Forward   - Count: 0
03-05 14:48:58.863   986  2068 D RobotCore: ECE008 ---- left move ticks 915.9010600706714 ticks / second 152.65017667844523        right move ticks 915.9010600706714 ticks / second 152.65017667844523
03-05 14:48:58.870   986  1288 V Robocol : sending CMD_NOTIFY_RUN_OP_MODE(54048), attempt: 0
03-05 14:48:58.882   986  2068 D RobotCore: ECE008 - motors are up
03-05 14:48:58.901   986  2068 D RobotCore: ECE008 left position 0 velocity 0.0        right position 0 velocity -0.0
03-05 14:48:58.918   986  2068 D RobotCore: ECE008 left position 0 velocity 0.0        right position 0 velocity -0.0
03-05 14:48:58.936   986  2068 D RobotCore: ECE008 left position 0 velocity 0.0        right position 0 velocity -0.0
03-05 14:48:58.952   986  2068 D RobotCore: ECE008 left position 0 velocity 0.0        right position 1 velocity 20.0
03-05 14:48:58.975   986  2068 D RobotCore: ECE008 left position 1 velocity 20.0        right position 1 velocity 20.0
03-05 14:48:58.992   986  2068 D RobotCore: ECE008 left position 2 velocity 40.0        right position 2 velocity 40.0
03-05 14:48:59.006   986  2068 D RobotCore: ECE008 left position 3 velocity 40.0        right position 2 velocity 20.0
03-05 14:48:59.021   986  2068 D RobotCore: ECE008 left position 3 velocity 40.0        right position 3 velocity 40.0
03-05 14:48:59.036   986  2068 D RobotCore: ECE008 left position 4 velocity 60.0        right position 4 velocity 40.0
03-05 14:48:59.052   986  2068 D RobotCore: ECE008 left position 5 velocity 60.0        right position 4 velocity 40.0
03-05 14:48:59.066   986  2068 D RobotCore: ECE008 left position 6 velocity 60.0        right position 5 velocity 60.0
